QQQ		
QQQ股價歷史		
Date	Low	Close
2018-11-01	17.625	20.459999
2018-12-01	14.61	16.797501
2019-01-01	15.7425	19.7925
2019-02-01	19.3825	20.905001
2019-03-01	19.9625	22.4825
2019-04-01	22.74	24.92
2019-05-01	20.815001	20.817499
2019-06-01	19.709999	24.002501
2019-07-01	24.4025	25.0375
2019-08-01	21.9275	23.8575
2019-09-01	23.225	24.182501
2019-10-01	22.4125	26.2225
2019-11-01	26.377501	28.33
2019-12-01	26.717501	30.4725
2020-01-01	30.3375	32.185001
2020-02-01	26.0875	28.395
2020-03-01	17.0075	22.395
2020-04-01	20.1875	29.245001
2020-05-01	27.09	32.8675
2020-06-01	32.307499	36.922501
2020-07-01	36.849998	42.419998
2020-08-01	41.987499	52.080002
2020-09-01	40.189999	45.825001
2020-10-01	41.904999	42.75
2020-11-01	41.900002	52.404999
2020-12-01	51.880001	57.555
2021-01-01	54.48	57.685001
2021-02-01	56.044998	57.27
2021-03-01	51.200001	58.595001
2021-04-01	60.009998	65.535004
2021-05-01	57.189999	63.689999
2021-06-01	61.57	71.809998
2021-07-01	70.730003	75.800003
2021-08-01	73.800003	82.160004
2021-09-01	72.730003	72.769997
2021-10-01	69.730003	84.540001
2021-11-01	83.790001	87.610001
2021-12-01	80.330002	89.019997
2022-01-01	62.369999	73.709999
2022-02-01	56.119999	66.669998
2022-03-01	55.43	71.919998
2022-04-01	53.009998	53.200001
2022-05-01	41.959999	50.669998
2022-06-01	38.240002	41.41
2022-07-01	40.34	52.02
2022-08-01	46.099998	46.369999
2022-09-01	36.630001	36.66
2022-10-01	32.98	39.080002
2022-11-01	33.900002	42.900002
2022-12-01	33.380001	35.040001
2023-01-01	33.419998	42.470001
2023-02-01	40.75	41.73
2023-03-01	39.240002	49.57
2023-04-01	45.98	49.740002
2023-05-01	47.41	57.32
2023-06-01	56.950001	64.379997
2023-07-01	62.200001	69.029999
2023-08-01	58.639999	66.279999
2023-09-01	57.099998	59.349998
2023-10-01	53.720001	56.419998
2023-11-01	56.639999	68.709999
2023-12-01	66.489998	76
2024-01-01	70.739998	75.779999
2024-01-12	75.254997	75.779999
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
